,CHARACTERISTIC_NAME,CHARACTERISTIC_ID
752,"      Indigenous languages, n.i.e.",1172
753,"      Indigenous languages, n.o.s.",1173
754,    Non-Indigenous languages,1174
755,      Afro-Asiatic languages,1175
756,        Berber languages,1176
757,          Kabyle,1177
758,          Tamazight,1178
759,"          Berber languages, n.i.e.",1179
760,        Chadic languages,1180
761,          Hausa,1181
762,          Mina,1182
763,        Coptic,1183
764,        Cushitic languages,1184
765,          Bilen,1185
766,          Oromo,1186
767,          Somali,1187
768,"          Cushitic languages, n.i.e.",1188
769,        Semitic languages,1189
770,          Amharic,1190
771,          Arabic,1191
772,          Aramaic languages,1192
773,            Assyrian Neo-Aramaic,1193
774,            Chaldean Neo-Aramaic,1194
775,"            Aramaic, n.o.s.",1195
776,          Harari,1196
777,          Hebrew,1197
778,          Maltese,1198
779,          Tigrigna,1199
780,"          Semitic languages, n.i.e.",1200
781,      Austro-Asiatic languages,1201
782,        Khmer (Cambodian),1202
783,        Vietnamese,1203
784,"        Austro-Asiatic languages, n.i.e",1204
785,      Austronesian languages,1205
786,        Bikol,1206
